Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
Job role,Sum of Final Out come,,,,,Mode of Contact,Sum of Final Out come,,,,,,,,Job role,Sum of Final Out come
Admin.,1352,,,,,cellular,3853,,,,,,,,Admin.,1352
Technician,730,,,,,telephone,787,,,,,,,,Blue-Collar,638
Blue-Collar,638,,,,,Grand Total,4640,,,,,,,,Entrepreneur,124
Retired,434,,,,,,,,,,,,,,Housemaid,106
Management,328,,,,,,,,,,,,,,Management,328
Services,323,,,,,,,,,,,,,,Retired,434
Student,275,,,,,,,,,,,,,,Self-Employed,149
Self-Employed,149,,,,,,,,,,,,,,Services,323
Unemployed,144,,,,,,,,,,,,,,Student,275
Entrepreneur,124,,,,,,,,,,,,,,Technician,730
Housemaid,106,,,,,,,,,,,,,,Unemployed,144
Unknown,37,,,,,,,,,,,,,,Unknown,37
Grand Total,4640,,,,,,,,,,,,,,Grand Total,4640
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Age Group,Count of Outcome(Yes/No),,,,,Term Deposit,Count of Outcome(Yes/No),,,,,,,,,
Middle age,21093,,,,,no,36548,,,,,,,,,
no,19283,,,,,yes,4640,,,,,,,,,
yes,1810,,,,,Grand Total,41188,,,,,,,,,
Old age,3582,,,,,,,,,,,,,,,
no,2841,,,,,,,,,,,,,,,
yes,741,,,,,,,,,,,,,,,
Teenagers,75,,,,,,,,,,,,,,,
no,41,,,,,,,,,,,,,,,
yes,34,,,,,,,,,,,,,,,
Young age,16438,,,,,,,,,,,,,,,
no,14383,,,,,,,,,,,,,,,
yes,2055,,,,,,,,,,,,,,,
Grand Total,41188,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,Marital Status,Sum of Final Out come,,,,,,,,,
Education Level,Sum of Final Out come,,,,,Married,2532,,,,,,,,,
Professional,2265,,,,,Single,1620,,,,,,,,,
Primary,1089,,,,,Divorced,476,,,,,,,,,
High School,1031,,,,,Unknown,12,,,,,,,,,
Unknown,251,,,,,Grand Total,4640,,,,,,,,,
Illiterate,4,,,,,,,,,,,,,,,
Grand Total,4640,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,Age Group,Sum of Housing Loan,Sum of Personal Loan,,,,,,,,
,,,,,,Middle age,11483,3676,,,,,,,,
,,,,,,Young age,9068,2978,,,,,,,,
,,,,,,Old age,1961,568,,,,,,,,
Month,Sum of Final Out come,,,,,Teenagers,54,16,,,,,,,,
mar,276,,,,,Grand Total,22566,7238,,,,,,,,
apr,539,,,,,,,,,,,,,,,
may,886,,,,,,,,,,,,,,,
jun,559,,,,,,,,,,,,,,,
jul,649,,,,,,,,,,,,,,,
aug,655,,,,,,,,,,,,,,,
sep,256,,,,,,,,,,,,,,,
oct,315,,,,,,,,,,,,,,,
nov,416,,,,,,,,,,,,,,,
dec,89,,,,,,,,,,,,,,,
Grand Total,4640,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Month,Sum of Campaign,,,,,,,,,,,,,,,
may,33593,,,,,,,,,,,,,,,
jul,22677,,,,,,,,,,,,,,,
aug,16474,,,,,,,,,,,,,,,
jun,16338,,,,,,,,,,,,,,,
nov,7830,,,,,,,,,,,,,,,
apr,5125,,,,,,,,,,,,,,,
mar,1203,,,,,,,,,,,,,,,
oct,1110,,,,,,,,,,,,,,,
sep,1011,,,,,,,,,,,,,,,
dec,393,,,,,,,,,,,,,,,
Grand Total,105754,,,,,,,,,,,,,,,
