Age  group,Job,Marital Status,Education level,Housing Loan,Personal Loan,Contact,Month,Duration(Sec),Average of Duration,Campaign,Outcome(Yes/No),Final Out come,prev campaign response,prsnt campaign response
Old age,Housemaid,Married,Primary,0,0,telephone,may,261,258.2850101971448,1,no,0,0,0
Old age,Services,Married,High School,0,0,telephone,may,149,258.2850101971448,1,no,0,0,0
Middle age,Services,Married,High School,1,0,telephone,may,226,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Married,Primary,0,0,telephone,may,151,258.2850101971448,1,no,0,0,0
Old age,Services,Married,High School,0,1,telephone,may,307,258.2850101971448,1,no,0,0,0
Middle age,Services,Married,Primary,0,0,telephone,may,198,258.2850101971448,1,no,0,0,0
Old age,Admin.,Married,Professional,0,0,telephone,may,139,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Unknown,0,0,telephone,may,217,258.2850101971448,1,no,0,0,0
Young age,Technician,Single,Professional,1,0,telephone,may,380,258.2850101971448,1,no,0,0,0
Young age,Services,Single,High School,1,0,telephone,may,50,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Unknown,0,0,telephone,may,55,258.2850101971448,1,no,0,0,0
Young age,Services,Single,High School,1,0,telephone,may,222,258.2850101971448,1,no,0,0,0
Young age,Blue-Collar,Single,High School,0,1,telephone,may,137,258.2850101971448,1,no,0,0,0
Old age,Housemaid,Divorced,Primary,1,0,telephone,may,293,258.2850101971448,1,no,0,0,0
Young age,Blue-Collar,Married,Primary,1,0,telephone,may,146,258.2850101971448,1,no,0,0,0
Middle age,Retired,Married,Primary,1,1,telephone,may,174,258.2850101971448,1,no,0,0,0
Young age,Blue-Collar,Married,Primary,1,0,telephone,may,312,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,1,telephone,may,440,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,1,telephone,may,353,258.2850101971448,1,no,0,0,0
Middle age,Management,Single,Primary,0,0,telephone,may,195,258.2850101971448,1,no,0,0,0
Young age,Unemployed,Married,High School,0,0,telephone,may,38,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Primary,1,0,telephone,may,262,258.2850101971448,1,no,0,0,0
Middle age,Retired,Single,High School,1,0,telephone,may,342,258.2850101971448,1,no,0,0,0
Middle age,Technician,Single,High School,1,0,telephone,may,181,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Married,High School,1,0,telephone,may,172,258.2850101971448,1,no,0,0,0
Young age,Technician,Married,Professional,0,1,telephone,may,99,258.2850101971448,1,no,0,0,0
Old age,Technician,Married,Unknown,1,0,telephone,may,93,258.2850101971448,1,no,0,0,0
Middle age,Self-Employed,Married,Primary,0,0,telephone,may,233,258.2850101971448,1,no,0,0,0
Middle age,Technician,Single,Professional,0,0,telephone,may,255,258.2850101971448,2,no,0,0,0
Middle age,Unknown,Married,Professional,1,1,telephone,may,362,258.2850101971448,1,no,0,0,0
Middle age,Admin.,Married,Unknown,0,0,telephone,may,348,258.2850101971448,1,no,0,0,0
Old age,Technician,Married,Unknown,1,0,telephone,may,386,258.2850101971448,1,no,0,0,0
Middle age,Blue-Collar,Married,Unknown,0,0,telephone,may,73,258.2850101971448,1,no,0,0,0
Middle age,Management,Married,Primary,1,0,telephone,may,230,258.2850101971448,1,no,0,0,0
